"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.837880300E-2,-3.817795368E-4,1.145338640E-3,1.145338640E-3
4.081489600E-2,2.290677221E-4,1.145338640E-3,-6.872031372E-4
4.325104200E-2,8.399150101E-4,1.145338640E-3,5.344913807E-4
4.568718800E-2,8.399150101E-4,5.344913807E-4,-6.872031372E-4
4.812328200E-2,8.399150101E-4,5.344913807E-4,1.145338640E-3
5.055942800E-2,8.399150101E-4,-1.298050396E-3,-7.635590737E-5
5.299552100E-2,1.450762269E-3,-7.635590737E-5,-6.872031372E-4
5.543166700E-2,-3.817795368E-4,-7.635590737E-5,5.344913807E-4
5.786781300E-2,-3.817795368E-4,5.344913807E-4,2.367033157E-3
6.030390700E-2,-9.926267667E-4,-6.872031372E-4,-1.298050396E-3
6.274005300E-2,-1.603474026E-3,-6.872031372E-4,-7.635590737E-5
6.517614600E-2,8.399150101E-4,5.344913807E-4,5.344913807E-4
6.761229200E-2,8.399150101E-4,5.344913807E-4,-7.635590737E-5
7.004843800E-2,1.450762269E-3,-7.635590737E-5,1.145338640E-3
7.248453200E-2,2.290677221E-4,-6.872031372E-4,1.145338640E-3
7.492067800E-2,2.290677221E-4,1.145338640E-3,-7.635590737E-5
7.735677100E-2,8.399150101E-4,-7.635590737E-5,1.145338640E-3
7.979291700E-2,8.399150101E-4,1.756185899E-3,-6.872031372E-4
8.222906300E-2,8.399150101E-4,1.145338640E-3,-1.298050396E-3
8.466515700E-2,-3.817795368E-4,-7.635590737E-5,-6.872031372E-4
8.710130300E-2,2.290677221E-4,-6.872031372E-4,5.344913807E-4
8.953739600E-2,2.290677221E-4,-7.635590737E-5,-7.635590737E-5
9.197354200E-2,-9.926267667E-4,5.344913807E-4,-7.635590737E-5
9.440963600E-2,-3.817795368E-4,-1.298050396E-3,-7.635590737E-5
9.684578200E-2,-2.214321401E-3,-3.130592173E-3,-6.872031372E-4
9.928192800E-2,-9.926267667E-4,-1.298050396E-3,-6.872031372E-4
1.017180210E-1,2.290677221E-4,5.344913807E-4,-1.298050396E-3
1.041541670E-1,2.290677221E-4,-6.872031372E-4,-7.635590737E-5
1.065902610E-1,1.450762269E-3,1.145338640E-3,5.344913807E-4
1.090264070E-1,8.399150101E-4,-6.872031372E-4,5.344913807E-4
1.114625530E-1,2.290677221E-4,-1.298050396E-3,-7.635590737E-5
1.138986460E-1,1.450762269E-3,1.145338640E-3,5.344913807E-4
1.163347920E-1,2.290677221E-4,5.344913807E-4,-7.635590737E-5
1.187709380E-1,-3.817795368E-4,1.145338640E-3,-6.872031372E-4
1.212070320E-1,-3.817795368E-4,5.344913807E-4,-1.298050396E-3
1.236431780E-1,-3.817795368E-4,-6.872031372E-4,5.344913807E-4
1.260792710E-1,-3.817795368E-4,-7.635590737E-5,-7.635590737E-5
1.285154170E-1,2.290677221E-4,-6.872031372E-4,5.344913807E-4
1.309515110E-1,2.290677221E-4,-7.635590737E-5,1.145338640E-3
1.333876570E-1,-3.817795368E-4,-7.635590737E-5,-7.635590737E-5
1.358238030E-1,2.290677221E-4,-6.872031372E-4,1.145338640E-3
1.382598960E-1,-1.603474026E-3,-7.635590737E-5,5.344913807E-4
1.406960420E-1,-3.817795368E-4,-1.298050396E-3,-7.635590737E-5
1.431321360E-1,8.399150101E-4,-6.872031372E-4,-7.635590737E-5
1.455682820E-1,2.290677221E-4,-6.872031372E-4,1.145338640E-3
1.480044280E-1,2.290677221E-4,1.145338640E-3,5.344913807E-4
1.504405210E-1,1.450762269E-3,1.145338640E-3,-1.298050396E-3
1.528766670E-1,2.290677221E-4,-7.635590737E-5,-1.298050396E-3
1.553127610E-1,-3.817795368E-4,5.344913807E-4,-7.635590737E-5
1.577489070E-1,2.290677221E-4,-7.635590737E-5,-7.635590737E-5
1.601850530E-1,2.290677221E-4,-7.635590737E-5,5.344913807E-4
1.626211460E-1,-3.817795368E-4,-7.635590737E-5,1.145338640E-3
1.650572920E-1,2.290677221E-4,-7.635590737E-5,1.145338640E-3
1.674933860E-1,2.290677221E-4,1.145338640E-3,-6.872031372E-4
1.699295320E-1,-1.603474026E-3,5.344913807E-4,-1.298050396E-3
1.723656780E-1,2.290677221E-4,-7.635590737E-5,-6.872031372E-4
1.748017710E-1,2.290677221E-4,5.344913807E-4,-1.298050396E-3
1.772379170E-1,-3.817795368E-4,-7.635590737E-5,5.344913807E-4
1.796740110E-1,-3.817795368E-4,5.344913807E-4,5.344913807E-4
1.821101570E-1,8.399150101E-4,-1.298050396E-3,5.344913807E-4
1.845463030E-1,-9.926267667E-4,-7.635590737E-5,-6.872031372E-4
1.869823960E-1,2.290677221E-4,5.344913807E-4,1.145338640E-3
1.894185420E-1,-9.926267667E-4,-1.298050396E-3,-6.872031372E-4
1.918546360E-1,-3.817795368E-4,5.344913807E-4,-6.872031372E-4
1.942907820E-1,-3.817795368E-4,-7.635590737E-5,-7.635590737E-5
1.967269280E-1,2.290677221E-4,1.145338640E-3,-1.298050396E-3
1.991630210E-1,-3.817795368E-4,-7.635590737E-5,-7.635590737E-5
2.015991670E-1,2.290677221E-4,1.145338640E-3,1.145338640E-3
2.040352610E-1,-3.817795368E-4,-7.635590737E-5,-1.298050396E-3
2.064714070E-1,2.290677221E-4,-7.635590737E-5,-7.635590737E-5
2.089075530E-1,-9.926267667E-4,5.344913807E-4,-7.635590737E-5
2.113436460E-1,8.399150101E-4,5.344913807E-4,-7.635590737E-5
2.137797920E-1,-9.926267667E-4,-7.635590737E-5,-7.635590737E-5
2.162158860E-1,-2.825168660E-3,-7.635590737E-5,1.145338640E-3
2.186520320E-1,8.399150101E-4,1.145338640E-3,-1.908897655E-3
2.210881260E-1,-9.926267667E-4,-7.635590737E-5,1.756185899E-3
2.235242710E-1,-3.817795368E-4,-6.872031372E-4,-6.872031372E-4
2.259604170E-1,2.290677221E-4,1.145338640E-3,1.756185899E-3
2.283965110E-1,2.290677221E-4,5.344913807E-4,5.344913807E-4
2.308326570E-1,1.450762269E-3,1.756185899E-3,-6.872031372E-4
2.332688030E-1,-3.817795368E-4,1.145338640E-3,-7.635590737E-5
2.357048960E-1,-3.817795368E-4,5.344913807E-4,-6.872031372E-4
2.381410420E-1,-3.817795368E-4,-7.635590737E-5,1.756185899E-3
2.405771360E-1,-9.926267667E-4,-7.635590737E-5,1.145338640E-3
2.430132820E-1,8.399150101E-4,-1.908897655E-3,-6.872031372E-4
2.454494280E-1,2.290677221E-4,5.344913807E-4,-7.635590737E-5
2.478855210E-1,8.399150101E-4,1.145338640E-3,-7.635590737E-5
2.503216670E-1,8.399150101E-4,-6.872031372E-4,5.344913807E-4
2.527577610E-1,-3.817795368E-4,5.344913807E-4,5.344913807E-4
2.551939070E-1,-3.817795368E-4,5.344913807E-4,-7.635590737E-5
2.576300530E-1,-3.817795368E-4,-7.635590737E-5,5.344913807E-4
2.600661460E-1,-3.817795368E-4,-6.872031372E-4,5.344913807E-4
2.625022920E-1,2.290677221E-4,-6.872031372E-4,5.344913807E-4
2.649383860E-1,-9.926267667E-4,1.145338640E-3,-7.635590737E-5
2.673745320E-1,2.061609412E-3,2.367033157E-3,-7.635590737E-5
2.698106260E-1,1.450762269E-3,5.344913807E-4,-6.872031372E-4
2.722467710E-1,2.290677221E-4,-6.872031372E-4,-6.872031372E-4
2.746829170E-1,-1.603474026E-3,-2.519744914E-3,5.344913807E-4
2.771190110E-1,2.290677221E-4,1.756185899E-3,5.344913807E-4
2.795551570E-1,8.399150101E-4,1.145338640E-3,-6.872031372E-4
2.819912510E-1,-3.817795368E-4,-1.298050396E-3,1.145338640E-3
2.844273960E-1,-3.817795368E-4,-3.130592173E-3,1.145338640E-3
2.868635420E-1,8.399150101E-4,-1.298050396E-3,-7.635590737E-5
2.892996360E-1,8.399150101E-4,1.145338640E-3,-6.872031372E-4
2.917357820E-1,-9.926267667E-4,-6.872031372E-4,-1.298050396E-3
2.941718760E-1,1.450762269E-3,-7.635590737E-5,-1.908897655E-3
2.966080210E-1,-9.926267667E-4,-6.872031372E-4,-6.872031372E-4
2.990441670E-1,2.290677221E-4,1.756185899E-3,-7.635590737E-5
3.014802610E-1,1.450762269E-3,2.977880416E-3,5.344913807E-4
3.039164070E-1,8.399150101E-4,2.367033157E-3,5.344913807E-4
3.063525010E-1,-9.926267667E-4,-1.298050396E-3,1.145338640E-3
3.087886460E-1,1.450762269E-3,1.145338640E-3,1.145338640E-3
3.112247920E-1,8.399150101E-4,-7.635590737E-5,-7.635590737E-5
3.136608860E-1,-3.817795368E-4,5.344913807E-4,-7.635590737E-5
3.160970320E-1,-1.603474026E-3,-2.519744914E-3,-6.872031372E-4
3.185331260E-1,-3.817795368E-4,-7.635590737E-5,-1.298050396E-3
3.209692710E-1,8.399150101E-4,1.145338640E-3,-7.635590737E-5
3.234054170E-1,1.450762269E-3,1.756185899E-3,-7.635590737E-5
3.258415110E-1,-1.603474026E-3,-7.635590737E-5,-7.635590737E-5
3.282776570E-1,2.290677221E-4,-7.635590737E-5,-6.872031372E-4
3.307137510E-1,-3.817795368E-4,1.145338640E-3,-7.635590737E-5
3.331498960E-1,2.290677221E-4,-6.872031372E-4,1.145338640E-3
3.355860420E-1,2.290677221E-4,5.344913807E-4,-7.635590737E-5
3.380221360E-1,-3.817795368E-4,-7.635590737E-5,5.344913807E-4
3.404582820E-1,8.399150101E-4,5.344913807E-4,1.756185899E-3
3.428943760E-1,2.290677221E-4,-6.872031372E-4,-6.872031372E-4
3.453305210E-1,8.399150101E-4,-6.872031372E-4,-1.298050396E-3
3.477666150E-1,-9.926267667E-4,-7.635590737E-5,-6.872031372E-4
3.502027610E-1,-2.825168660E-3,-4.352286924E-3,5.344913807E-4
3.526389070E-1,2.290677221E-4,-1.298050396E-3,-1.298050396E-3
3.550750010E-1,8.399150101E-4,-7.635590737E-5,-7.635590737E-5
3.575111460E-1,1.450762269E-3,5.344913807E-4,5.344913807E-4
3.599472400E-1,2.290677221E-4,-7.635590737E-5,5.344913807E-4
3.623833860E-1,2.290677221E-4,5.344913807E-4,-6.872031372E-4
3.648195320E-1,-3.817795368E-4,5.344913807E-4,1.756185899E-3
3.672556260E-1,8.399150101E-4,3.588727675E-3,-7.635590737E-5
3.696917710E-1,1.450762269E-3,5.344913807E-4,-6.872031372E-4
3.721278650E-1,8.399150101E-4,2.367033157E-3,-1.908897655E-3
3.745640110E-1,8.399150101E-4,5.344913807E-4,5.344913807E-4
3.770001570E-1,-3.817795368E-4,5.344913807E-4,-6.872031372E-4
3.794362510E-1,2.290677221E-4,1.756185899E-3,-7.635590737E-5
3.818723960E-1,8.399150101E-4,-7.635590737E-5,-7.635590737E-5
3.843084900E-1,8.399150101E-4,5.344913807E-4,5.344913807E-4
3.867446360E-1,2.061609412E-3,2.977880416E-3,-6.872031372E-4
3.891807300E-1,-9.926267667E-4,-1.298050396E-3,-7.635590737E-5
3.916168760E-1,-1.603474026E-3,-6.872031372E-4,5.344913807E-4
3.940530210E-1,-3.817795368E-4,5.344913807E-4,-6.872031372E-4
3.964891150E-1,2.290677221E-4,-7.635590737E-5,-6.872031372E-4
3.989252610E-1,-3.817795368E-4,-6.872031372E-4,5.344913807E-4
4.013614070E-1,-9.926267667E-4,-1.298050396E-3,1.145338640E-3
