"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.666593800E-2,0.000000000E0,0.000000000E0,0.000000000E0
6.153817800E-2,-3.607455641E-3,7.811095566E-3,7.183074951E-3
6.641041700E-2,-7.917657495E-4,5.179643631E-3,7.982254028E-4
7.128265700E-2,6.574615836E-3,-5.124166608E-3,5.086898804E-3
7.615489600E-2,1.485658437E-2,1.407430321E-2,2.154350281E-3
8.102718800E-2,7.451109588E-3,1.169357449E-2,-4.189491272E-3
8.589942800E-2,8.423201740E-3,4.894748330E-3,-6.669044495E-3
9.077166700E-2,8.427478373E-3,-1.246104389E-2,-1.107215881E-2
9.564390700E-2,-1.281985641E-2,-3.574255854E-3,6.118774414E-3
1.005161460E-1,-2.935193479E-3,-8.588653058E-3,-7.420539856E-3
1.053883860E-1,-4.818513989E-4,4.124794155E-3,8.716583252E-4
1.102606780E-1,6.120502949E-4,8.145514876E-3,-2.965927124E-4
1.151329170E-1,9.441956878E-3,8.507110178E-4,-2.484321594E-3
1.200051570E-1,-1.453714445E-2,-6.975509226E-3,3.251075745E-3
1.248773960E-1,-1.780539751E-4,-9.846400470E-3,9.737968445E-3
1.297496360E-1,8.793689311E-3,8.577294648E-4,-8.826255798E-3
1.346219280E-1,1.276572049E-2,-2.570368350E-3,-3.800392151E-3
1.394941670E-1,-8.324366063E-3,-1.253362745E-3,8.845329285E-3
1.443664070E-1,-5.649361759E-3,4.457376897E-3,-6.914138794E-4
1.492386460E-1,3.783084452E-3,1.329236105E-2,1.071548462E-2
1.541108860E-1,-9.464621544E-4,5.821026862E-3,-1.196861267E-3
1.589831780E-1,-1.004796848E-2,-1.685284078E-4,-4.570007324E-3
1.638554170E-1,4.125267267E-3,-1.618876308E-2,1.051330566E-2
1.687276570E-1,1.698039472E-3,-1.718271524E-3,-1.394271851E-3
1.735998960E-1,-4.104763269E-3,6.365701556E-4,-2.488136292E-3
1.784721360E-1,5.271725357E-3,2.364865318E-2,-2.392768860E-3
1.833444280E-1,2.739489079E-3,1.355320588E-2,-1.152992249E-3
1.882166670E-1,2.624079585E-3,1.193119958E-2,-2.264976501E-3
1.930889070E-1,-1.363635808E-2,1.384748891E-2,-1.030921936E-3
1.979611460E-1,3.043368459E-3,-2.812210470E-3,1.057529449E-2
2.028333860E-1,1.811720431E-3,1.914378256E-3,-1.177597046E-2
2.077056780E-1,-1.713030040E-3,1.114800945E-2,4.827499390E-3
2.125779170E-1,-3.971859813E-3,6.169233471E-3,-3.443717957E-3
2.174501570E-1,-7.315449417E-3,3.708779812E-3,-5.666732788E-3
2.223223960E-1,1.015700400E-3,1.293637231E-2,1.310157776E-2
2.271946360E-1,1.499199867E-2,1.489292830E-2,-1.227378845E-3
2.320669280E-1,-4.863217473E-4,-3.006476909E-3,-3.523826599E-3
2.369391670E-1,-1.678052545E-2,-7.572952658E-3,7.058143616E-3
2.418114070E-1,-8.232049644E-3,-3.877460957E-3,-7.119178772E-3
2.466836460E-1,8.352898061E-3,2.028696239E-3,-2.272605896E-3
2.515558860E-1,9.313419461E-3,-3.871992230E-3,-1.049041748E-3
2.564281780E-1,1.377666742E-2,-2.594709396E-3,2.480506897E-3
2.613004170E-1,-6.452508271E-3,9.756200016E-4,3.592491150E-3
2.661726570E-1,-3.883734345E-3,1.613495499E-2,-3.508567810E-3
2.710448960E-1,-2.893134952E-4,-6.508529186E-4,1.252174377E-3
2.759171360E-1,-1.201121509E-2,5.249433219E-3,-1.117706299E-3
2.807893760E-1,-5.901258439E-3,-1.010487229E-2,5.935668945E-3
2.856616670E-1,-5.882274359E-3,7.675327361E-3,1.125335693E-3
2.905339070E-1,-1.395937055E-2,4.002712667E-3,5.791664124E-3
2.954061460E-1,-7.832042873E-3,3.910094500E-3,1.740741730E-2
3.002783860E-1,-7.567144930E-3,8.486941457E-3,5.328178406E-3
3.051506260E-1,9.039811790E-3,-1.066058874E-3,-1.121044159E-2
3.100229170E-1,1.241776347E-2,-4.624441266E-3,-1.604080200E-3
3.148951570E-1,1.566599309E-2,-5.668506026E-3,-5.098342896E-3
3.197673960E-1,-5.748454481E-3,-7.928412408E-3,-7.355690002E-3
3.246396360E-1,2.623625100E-3,8.674763143E-3,-6.049156189E-3
3.295118760E-1,6.131164730E-3,-8.837431669E-4,5.817413330E-3
3.343841670E-1,1.316197217E-3,2.958774567E-4,4.540443420E-3
3.392564070E-1,-8.109606802E-3,-1.031181216E-2,-1.419067383E-3
3.441286460E-1,7.295884192E-3,5.135431886E-3,9.198188782E-3
3.490008860E-1,-3.524798900E-3,5.139820278E-3,-1.549720764E-3
3.538731260E-1,-2.322256565E-3,-1.028056443E-2,-2.702713013E-3
3.587453650E-1,-1.096554101E-3,-4.268005490E-3,-2.659797668E-3
3.636176570E-1,9.550876915E-3,6.406158209E-3,-1.439094543E-3
3.684898960E-1,-1.053525135E-2,1.537486911E-3,2.117156982E-3
3.733621360E-1,6.197996438E-3,8.546382189E-3,2.085685730E-3
3.782343760E-1,-4.452809691E-3,-1.280439273E-2,6.771087646E-3
3.831066150E-1,8.597470820E-3,9.752370417E-3,9.030342102E-3
3.879788550E-1,-4.463896155E-3,3.685750067E-3,-7.616996765E-3
3.928511460E-1,-9.123362601E-3,3.678575158E-3,-3.968238831E-3
3.977233860E-1,1.608960330E-3,-4.632383585E-3,-8.633613586E-3
4.025956260E-1,3.871537745E-3,3.769584000E-3,-1.087474823E-2
4.074678650E-1,-3.239966929E-3,4.871889949E-3,6.984710693E-3
4.123401570E-1,5.153141916E-3,7.126651704E-3,2.165794373E-3
4.172123960E-1,-5.577515811E-3,-1.655927300E-2,6.862640381E-3
4.220846360E-1,4.000708461E-3,-1.521580666E-2,-3.166198730E-4
4.269568760E-1,-1.890145242E-3,-7.955707610E-3,-9.763717651E-3
4.318291150E-1,-1.797363162E-3,-4.320580512E-3,9.965896606E-4
4.367014070E-1,-6.107017398E-4,-4.234701395E-3,-7.289886475E-3
4.415736460E-1,1.800842583E-3,8.794650435E-3,-1.074409485E-2
4.464458860E-1,-1.120080799E-2,-1.995667815E-3,-7.064819336E-3
4.513181260E-1,-1.637160778E-3,-9.034737945E-3,1.298904419E-3
4.561903650E-1,9.008117020E-3,-4.178538918E-3,3.647804260E-3
4.610626050E-1,2.968966961E-3,8.913114667E-3,-9.407043457E-3
4.659348960E-1,1.007150114E-2,1.475448906E-2,-4.563331604E-3
4.708071360E-1,9.921722114E-3,-8.097514510E-4,2.587318420E-3
4.756793760E-1,5.085356534E-3,-3.208063543E-3,-6.908416748E-3
4.805516150E-1,-5.612339824E-3,-3.212939948E-3,2.708435059E-4
4.854238550E-1,-4.397891462E-3,-1.027644426E-2,-2.099037170E-3
4.902961460E-1,5.117505789E-3,-4.255808890E-3,2.918243408E-4
4.951683860E-1,3.946416080E-3,-7.715199143E-3,-8.964538574E-4
5.000406260E-1,-5.571968853E-3,7.748566568E-3,-8.859634399E-4
5.049128650E-1,1.618802547E-3,1.117622852E-2,3.070831299E-4
5.097851050E-1,-8.138641715E-4,5.108878016E-3,3.051757812E-4
5.146573440E-1,7.511362433E-3,-7.971659303E-3,-3.252029419E-3
5.195296360E-1,3.933966160E-3,3.930293024E-3,-2.033233643E-3
5.244018760E-1,1.476794481E-3,1.479372382E-3,5.096435547E-3
5.292741150E-1,1.472853124E-3,-5.686119199E-3,2.675056458E-3
5.341463550E-1,2.550706267E-4,-4.470527172E-3,-9.202957153E-3
5.390185940E-1,6.102256477E-3,3.453791142E-4,9.851455688E-3
5.438908340E-1,-3.428697586E-3,-1.036611944E-2,1.686477661E-2
5.487631260E-1,7.255062461E-3,1.590542495E-3,-9.377479553E-3
5.536353650E-1,1.072267443E-2,-4.364065826E-3,-4.545211792E-3
5.585076050E-1,7.001586258E-3,-1.023320854E-2,-5.685806274E-3
5.633798440E-1,3.330908716E-3,5.373731256E-4,-9.189605713E-3
5.682520840E-1,1.753941923E-2,-1.012261957E-2,-1.265907288E-2
5.731243760E-1,-8.731618524E-3,4.219219089E-3,-1.254177094E-2
5.779966150E-1,1.153601706E-2,-2.991277725E-3,-1.751899719E-3
5.828688550E-1,7.667094469E-4,6.512284279E-3,5.380630493E-3
5.877410940E-1,-1.615963876E-3,-1.906026155E-3,5.331993103E-3
5.926133340E-1,1.021426171E-2,-5.430951715E-3,1.240158081E-2
5.974856260E-1,7.156804204E-4,1.723490655E-3,5.171775818E-3
6.023578650E-1,-1.637913287E-3,7.642604411E-3,7.499694824E-3
6.072301050E-1,-4.404559731E-4,-9.062960744E-3,9.806632996E-3
6.121023440E-1,-6.387803704E-3,-6.900019944E-4,-8.078575134E-3
6.169745840E-1,6.718106568E-3,1.830551773E-2,6.231307983E-3
6.218468230E-1,-2.779163420E-3,-1.037602127E-2,-2.129554749E-3
6.267191150E-1,1.974031329E-3,8.690059185E-3,-1.398086548E-2
6.315913550E-1,-1.563623548E-3,-1.043049246E-2,3.805160522E-4
6.364635940E-1,1.273447275E-2,-6.751220673E-3,2.752304077E-3
6.413358340E-1,-2.821676433E-3,-1.149903610E-2,2.729415894E-3
6.462080730E-1,1.946955919E-3,5.217730999E-3,2.706527710E-3
6.510803650E-1,4.330635071E-3,2.831131220E-3,-6.812095642E-3
6.559526050E-1,3.118522465E-3,-1.909535378E-3,2.741813660E-3
6.608248440E-1,-8.767150342E-3,-5.496211350E-3,1.102733612E-2
6.656970840E-1,-6.323408335E-3,-7.822372019E-3,-3.309249878E-3
6.705693230E-1,-2.712585032E-3,-6.474554539E-4,-4.467964172E-3
6.754415630E-1,-1.433871686E-3,2.069853246E-2,2.690315247E-3
6.803138550E-1,9.630993009E-4,-1.149353758E-2,7.417678833E-3
6.851860940E-1,4.527263343E-3,-1.497120410E-2,-2.140998840E-3
6.900583340E-1,-3.794498742E-3,2.976477146E-3,-2.122879028E-3
6.949305730E-1,-1.562265679E-2,1.124896109E-2,3.829956055E-3
6.998028130E-1,1.122832298E-3,8.783563972E-3,-9.517669678E-4
7.046751050E-1,2.340555191E-3,1.344642043E-2,-6.877899170E-3
7.095473440E-1,-2.401769161E-3,2.594925463E-3,-9.195327759E-3
7.144195840E-1,-3.601331264E-3,2.531930804E-3,1.566886902E-3
7.192918230E-1,1.188315451E-3,-2.279121429E-3,-2.007484436E-3
7.241640630E-1,-1.155555248E-3,-5.862809718E-3,7.506370544E-3
7.290363030E-1,-4.710230976E-3,1.353852451E-3,-2.053260803E-3
7.339085940E-1,4.734568298E-3,-2.099834383E-3,-1.865577698E-2
7.387808340E-1,-1.581758261E-4,-1.267680153E-2,1.355171204E-2
7.436530730E-1,1.645880193E-2,-1.374162734E-2,9.877204895E-3
7.485253130E-1,7.979534566E-3,1.370691508E-2,2.672195435E-3
7.533975530E-1,-3.997534513E-4,-5.398496985E-3,1.462936401E-3
7.582697920E-1,4.334174097E-3,-6.178319454E-4,-6.859779358E-3
7.631420840E-1,-2.726122737E-3,-5.387924612E-3,3.185272217E-4
7.680143230E-1,-1.572103426E-2,-1.724071428E-2,-5.619049072E-3
